gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
884442252	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3bcdf5f1a-2532-4e3f-9f3f-93692ff34305	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis ater		SPECIES	Myotis ater (Peters, 1866)	MY	Bukit Sarang, Ulu Kakus	bc092ff0-02e4-11dc-991f-b8a03c50a862	2.6533	113.0514							2007-01-22T01:00Z	22	1	2007	7261865	7261865	PRESERVED_SPECIMEN	USNM	Mammals	597789.7597506	KMH 2461		CC_BY_NC_4_0		K. Helgen			2016-08-04T02:03Z		GEODETIC_DATUM_ASSUMED_WGS84
884442256	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/388465ad1-9c1d-4fb6-b51a-62a3f1b9d111	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis gomantongensis		SPECIES	Myotis gomantongensis Francis & Hill, 1998	MY	Ulu Kakas, Bukit Sarang	bc092ff0-02e4-11dc-991f-b8a03c50a862	2.65333	113.0515			17.0				2005-01-17T01:00Z	17	1	2005	4266314	4266314	PRESERVED_SPECIMEN	USNM	Mammals	590420.7593321	1350		CC_BY_NC_4_0		K. Helgen			2016-08-04T01:57Z		GEODETIC_DATUM_ASSUMED_WGS84
884442340	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/322e4b55c-1f15-45dd-a0cf-7661e0046d3e	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis gomantongensis		SPECIES	Myotis gomantongensis Francis & Hill, 1998	MY	Ulu Kakas, Bukit Sarang	bc092ff0-02e4-11dc-991f-b8a03c50a862	2.65333	113.0515			17.0				2005-01-18T01:00Z	18	1	2005	4266314	4266314	PRESERVED_SPECIMEN	USNM	Mammals	590136.7592502	8731		CC_BY_NC_4_0		D. Wilson			2016-08-04T01:57Z		GEODETIC_DATUM_ASSUMED_WGS84
865718014	5a659248-1f70-11e3-b2c5-00145eb45e9a		Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos javanicus		SPECIES	Bos javanicus d'Alton, 1823	ID	Iles de la Sonde	23539a57-1347-4dd3-af2a-cf9478563baa	0.0	110.0											2441027	2441027	PRESERVED_SPECIMEN	MHNG	Mammals housed at MHNG, Geneva	MHNG-MAM-612.008			CC_BY_NC_4_0					2016-08-04T01:36Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_UNLIKELY
865718861	5a659248-1f70-11e3-b2c5-00145eb45e9a		Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Callosciurus	Callosciurus prevostii	sarawakensis	SUBSPECIES	Callosciurus prevostii subsp. sarawakensis Gray, 1867	MY	Mont Batu Song, Baram district/State of Sarawak	23539a57-1347-4dd3-af2a-cf9478563baa	3.80002	114.43997											4263768	2437397	PRESERVED_SPECIMEN	MHNG	Mammals housed at MHNG, Geneva	MHNG-MAM-669.003a			CC_BY_NC_4_0					2016-08-04T01:36Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_UNLIKELY
865727760	5a659248-1f70-11e3-b2c5-00145eb45e9a		Animalia	Chordata	Mammalia	Primates	Hylobatidae	Hylobates	Hylobates muelleri	abbotti	SUBSPECIES	Hylobates muelleri subsp. abbotti Kloss, 1929	MY	State of Sarawak	23539a57-1347-4dd3-af2a-cf9478563baa	3.00936	113.77358											5707401	5219548	PRESERVED_SPECIMEN	MHNG	Mammals housed at MHNG, Geneva	MHNG-MAM-745.092			CC_BY_NC_4_0					2016-08-04T01:36Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_UNLIKELY
865729322	5a659248-1f70-11e3-b2c5-00145eb45e9a		Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis subsp. fascicularis	MY	State of Sarawak	23539a57-1347-4dd3-af2a-cf9478563baa	3.00936	113.77358											7262038	2436603	PRESERVED_SPECIMEN	MHNG	Mammals housed at MHNG, Geneva	MHNG-MAM-746.007			CC_BY_NC_4_0					2016-08-04T01:36Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_UNLIKELY
865741469	5a659248-1f70-11e3-b2c5-00145eb45e9a		Animalia	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo pygmaeus	pygmaeus	SUBSPECIES	Pongo pygmaeus subsp. pygmaeus	MY	State of Sarawak	23539a57-1347-4dd3-af2a-cf9478563baa	3.00936	113.77358											5707417	5219532	PRESERVED_SPECIMEN	MHNG	Mammals housed at MHNG, Geneva	MHNG-MAM-745.001			CC_BY_NC_4_0					2016-08-04T01:36Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_UNLIKELY
865749132	5a659248-1f70-11e3-b2c5-00145eb45e9a		Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus cristatus		SPECIES	Trachypithecus cristatus (Raffles, 1821)	MY	State of Sarawak	23539a57-1347-4dd3-af2a-cf9478563baa	3.00936	113.77358											2436542	2436542	PRESERVED_SPECIMEN	MHNG	Mammals housed at MHNG, Geneva	MHNG-MAM-758.017			CC_BY_NC_4_0					2016-08-04T01:36Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_UNLIKELY
859412493	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-106084	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Callosciurus	Callosciurus prevostii		SPECIES	Callosciurus prevostii (Desmarest, 1822)	ID	Riam, Kotawaringin	ccd1ddc0-6c21-11de-8224-b8a03c50a862	-1.51667	111.5			300.0	0.0			1935-11-22T01:00Z	22	11	1935	2437397	2437397	PRESERVED_SPECIMEN	AMNH	Mammals	M-106084	350		CC0_1_0		J. J. Menden		NATIVE	2016-08-04T12:29Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK
